tweet_id,favorites,retweet_count
875747767867523072,23522,3890
875144289856114688,20503,4462
875097192612077568,25654,5528
875021211251597312,23862,4294
874680097055178752,26024,4216
874434818259525634,0,13235
874296783580663808,24375,3751
874057562936811520,21277,3630
874012996292530176,32079,9339
873580283840344065,22700,3598
873337748698140672,0,1454
873213775632977920,6706,1454
872967104147763200,25540,4950
872820683541237760,13822,3404
872620804844003328,19445,3333
872486979161796608,38256,8271
872122724285648897,32188,7398
871879754684805121,35294,10048
871762521631449091,18999,3198
871515927908634625,18954,3189
871166179821445120,0,5241
871102520638267392,19665,5050
871032628920680449,21375,3511
870804317367881728,31647,5688
870726314365509632,114,3
870656317836468226,11618,2418
870374049280663552,78158,24379
870308999962521604,20628,3811
870063196459192321,34395,7648
869772420881756160,40119,9336
869702957897576449,26593,5806
869596645499047938,15047,2882
869227993411051520,19265,3478
868880397819494401,61703,13325
868639477480148993,0,1918
868622495443632128,25169,4894
868552278524837888,9511,1918
867900495410671616,22875,3866
867774946302451713,32096,6800
867421006826221569,15202,2303
867072653475098625,0,110
867051520902168576,30485,7309
866720684873056260,18935,4452
866686824827068416,18245,3239
866450705531457537,115747,32677
866334964761202691,49598,13235
866094527597207552,0,7790
865718153858494464,24318,5223
865359393868664832,25081,4656
865006731092295680,26589,7163
864873206498414592,30622,8093
864279568663928832,13831,2815
864197398364647424,28453,8248
863907417377173506,19560,3857
863553081350529029,14519,3919
863471782782697472,0,2269
863432100342583297,22600,4900
863427515083354112,2095,89
863079547188785154,8350,1038
863062471531167744,8035,2269
862831371563274240,18261,4820
862722525377298433,16278,3307
862457590147678208,19466,4614
862096992088072192,70671,21663
861383897657036800,34374,10036
861288531465048066,16356,3877
861005113778896900,15918,3577
860981674716409858,0,2014
860924035999428608,0,749
860563773140209665,7144,2014
860524505164394496,22573,4985
860276583193509888,17540,3296
860184849394610176,15921,5494
860177593139703809,0,29119
859924526012018688,18715,3864
859851578198683649,14751,3310
859607811541651456,17821,1473
859196978902773760,85965,28430
859074603037188101,32364,12858
858860390427611136,0,7664
858843525470990336,14940,3291
858471635011153920,20623,4598
858107933456039936,15113,2743
857989990357356544,15440,2457
857746408056729600,32884,10081
857393404942143489,5647,1558
857263160327368704,19273,4288
857214891891077121,215,17
857062103051644929,0,161
857029823797047296,18123,3781
856543823941562368,15713,2742
856526610513747968,11436,1786
856330835276025856,0,638
856288084350160898,494,15
856282028240666624,26749,5999
855862651834028034,324,24
855860136149123072,4744,934
855857698524602368,11461,2015
855851453814013952,44198,17238
855818117272018944,25751,5190
855459453768019968,28798,7872
855245323840757760,0,5698
855138241867124737,0,43
854732716440526848,22035,5813
854482394044301312,28360,6580
854365224396361728,18311,4507
854120357044912130,31021,7170
854010172552949760,15745,3027
853760880890318849,27745,5527
853639147608842240,33663,9673
853299958564483072,15065,3437
852936405516943360,0,1925
852912242202992640,8786,1746
852672615818899456,14510,2081
852553447878664193,15873,3348
852311364735569921,32307,9612
852226086759018497,19491,6627
852189679701164033,11180,1540
851861385021730816,0,19
851591660324737024,15879,3365
851464819735769094,23692,6845
851224888060895234,20228,5571
850753642995093505,30128,8845
850380195714523136,12817,2533
850333567704068097,3383,319
850145622816686080,15989,3689
850019790995546112,19973,4739
849776966551130114,29795,7380
849668094696017920,0,4820
849412302885593088,15557,3074
849336543269576704,11200,1849
849051919805034497,41520,8252
848690551926992896,24715,4222
848324959059550208,24237,4508
848213670039564288,8028,711
848212111729840128,16023,2962
847978865427394560,0,3173
847971574464610304,0,422
847962785489326080,23101,4952
847842811428974592,5338,1295
847617282490613760,6865,403
847606175596138505,18462,3356
847251039262605312,20165,4224
847157206088847362,19574,5733
847116187444137987,21126,3113
846874817362120707,19780,3847
846514051647705089,43924,11292
846505985330044928,13891,3009
846153765933735936,31118,8853
846139713627017216,30604,9830
846042936437604353,15736,2804
845812042753855489,28806,8524
845677943972139009,24849,4706
845397057150107648,7522,1765
845306882940190720,23026,5292
845098359547420673,0,7512
844979544864018432,13462,2512
844973813909606400,14881,3127
844580511645339650,16271,3066
844223788422217728,13494,2162
843981021012017153,15005,2899
843856843873095681,21200,4549
843604394117681152,16698,2696
843235543001513987,21289,5924
842846295480000512,15117,3586
842765311967449089,6663,1259
842535590457499648,17920,3459
842163532590374912,24178,5698
842115215311396866,13847,2992
841833993020538882,0,14850
841680585030541313,25497,7710
841439858740625411,12533,3636
841320156043304961,19633,5428
841314665196081154,15689,4589
841077006473256960,22657,5241
840761248237133825,0,1746
840728873075638272,0,15905
840698636975636481,173,2
840696689258311684,12184,962
840632337062862849,8921,1746
840370681858686976,16331,4493
840268004936019968,19116,5655
839990271299457024,13320,2252
839549326359670784,27263,7664
839290600511926273,0,141
839239871831150596,26935,6456
838952994649550848,19535,3955
838921590096166913,11079,2044
838916489579200512,0,35
838831947270979586,0,10894
838561493054533637,10883,1322
838476387338051585,22360,4723
838201503651401729,0,9952
838150277551247360,1666,328
838085839343206401,138,1
838083903487373313,17511,3104
837820167694528512,33904,7790
837482249356513284,3835,440
837471256429613056,12713,2256
837110210464448512,15972,2346
836989968035819520,12709,2278
836753516572119041,19249,4608
836677758902222849,12566,2211
836648853927522308,0,554
836397794269200385,0,27312
836380477523124226,14702,2970
836260088725786625,21229,4270
836001077879255040,19020,4228
835685285446955009,0,8077
835574547218894849,17732,3597
835536468978302976,0,1689
835309094223372289,0,20796
835297930240217089,16419,2991
835264098648616962,7714,1689
835246439529840640,2091,73
835172783151792128,26073,5738
835152434251116546,22324,2996
834931633769889797,10767,1630
834786237630337024,21310,5464
834574053763584002,13618,2519
834477809192075265,0,10589
834458053273591808,9598,1674
834209720923721728,20529,4732
834167344700198914,15790,3646
834089966724603904,10028,2125
834086379323871233,13043,2197
833863086058651648,13406,2399
833826103416520705,18041,3759
833732339549220864,0,221
833722901757046785,20769,3210
833479644947025920,14828,2045
833124694597443584,20175,4820
832998151111966721,13239,2198
832769181346996225,0,39
832757312314028032,16842,3610
832682457690300417,11868,2904
832645525019123713,2919,531
832636094638288896,15822,2773
832397543355072512,11955,2217
832369877331693569,17174,3173
832273440279240704,11351,2334
832215909146226688,0,6194
832215726631055365,0,9300
832088576586297345,62,2
832040443403784192,0,9611
832032802820481025,17857,4648
831939777352105988,23975,6122
831926988323639298,335,34
831911600680497154,27608,6494
831670449226514432,10427,1814
831650051525054464,7128,1925
831552930092285952,8975,2313
831322785565769729,9271,1551
831315979191906304,6536,1127
831309418084069378,11762,2466
831262627380748289,11904,2044
830956169170665475,7970,1500
830583320585068544,66831,16751
830173239259324417,0,5681
830097400375152640,9797,2939
829878982036299777,0,5012
829861396166877184,12251,1945
829501995190984704,31762,10589
829449946868879360,10476,2017
829141528400556032,24415,7344
829011960981237760,53207,16303
828801551087042563,0,3422
828770345708580865,25612,5866
828708714936930305,36552,11178
828650029636317184,9510,1348
828409743546925057,6353,1165
828408677031882754,7689,1293
828381636999917570,12593,2216
828376505180889089,7388,1072
828372645993398273,12593,2937
828361771580813312,2197,172
828046555563323392,11761,2879
828011680017821696,10373,2153
827933404142436356,20137,5254
827653905312006145,15538,3027
827600520311402496,7465,947
827324948884643840,15881,3055
827199976799354881,10597,2221
826958653328592898,21622,5012
826848821049180160,36455,10192
826615380357632002,0,3996
826598799820865537,5136,253
826598365270007810,10088,2344
826476773533745153,18453,4202
